time,open,high,low,close,tick_volume,spread,real_volume
2025-04-14 00:00:00,1.13181,1.13212,1.1314,1.1318,548,0,0
2025-04-14 01:00:00,1.13191,1.13551,1.1319,1.13342,5308,0,0
2025-04-14 02:00:00,1.13343,1.13492,1.13241,1.13422,4578,0,0
2025-04-14 03:00:00,1.13422,1.13709,1.1341,1.13654,6894,0,0
2025-04-14 04:00:00,1.13654,1.14091,1.13644,1.13857,7712,0,0
2025-04-14 05:00:00,1.13856,1.14013,1.1371,1.13721,5442,0,0
2025-04-14 06:00:00,1.13724,1.13839,1.13579,1.13716,4745,0,0
2025-04-14 07:00:00,1.13725,1.13852,1.13655,1.13677,3552,0,0
2025-04-14 08:00:00,1.13677,1.1388,1.13529,1.13853,4444,0,0
2025-04-14 09:00:00,1.13852,1.14241,1.13766,1.14167,8935,0,0
2025-04-14 10:00:00,1.1417,1.14247,1.13834,1.13899,9196,0,0
2025-04-14 11:00:00,1.13899,1.14099,1.13787,1.13877,8169,0,0
2025-04-14 12:00:00,1.13876,1.14079,1.13867,1.13869,7450,0,0
2025-04-14 13:00:00,1.13869,1.13922,1.13716,1.13874,6060,0,0
2025-04-14 14:00:00,1.13874,1.1406,1.13726,1.13839,4986,0,0
2025-04-14 15:00:00,1.13839,1.13886,1.13344,1.13388,8142,0,0
2025-04-14 16:00:00,1.13389,1.13415,1.12959,1.13274,11422,0,0
2025-04-14 17:00:00,1.13274,1.13679,1.13199,1.13677,7959,0,0
2025-04-14 18:00:00,1.13676,1.13819,1.13529,1.13572,8108,0,0
2025-04-14 19:00:00,1.13572,1.13706,1.13303,1.13309,7055,0,0
2025-04-14 20:00:00,1.1331,1.1348,1.13286,1.13385,5491,0,0
2025-04-14 21:00:00,1.13385,1.13572,1.13381,1.13545,4513,0,0
2025-04-14 22:00:00,1.13545,1.1369799999999999,1.13501,1.1355,3289,0,0
2025-04-14 23:00:00,1.13551,1.13584,1.13434,1.13499,2888,0,0
2025-04-15 00:00:00,1.13497,1.13556,1.13424,1.13524,765,6,0
2025-04-15 01:00:00,1.13524,1.13613,1.13455,1.13538,1561,0,0
2025-04-15 02:00:00,1.13538,1.13543,1.13336,1.13362,2460,0,0
2025-04-15 03:00:00,1.13362,1.1339,1.13172,1.13288,4450,0,0
2025-04-15 04:00:00,1.13287,1.13351,1.13158,1.13248,3540,0,0
