time,open,high,low,close,tick_volume,spread,real_volume,RSI,MACD,MACD_signal,MA,MFI
2025-04-18 01:16:00,1.3265,1.32661,1.32626,1.32626,22,48,0,47.968792406398734,2.1069509260396302e-05,1.3411259202289472e-05,1.326343,40.87846710305969
2025-04-18 01:17:00,1.32627,1.32631,1.32625,1.32629,51,78,0,48.86962385216957,9.789325655429337e-06,1.2686872492917444e-05,1.326356,43.1383677670748
2025-04-18 01:18:00,1.32629,1.32662,1.32627,1.32662,69,64,0,57.57152961674028,2.7164802026025114e-05,1.5582458399538977e-05,1.326418,60.98241924127662
2025-04-18 01:19:00,1.32665,1.32697,1.32665,1.32674,154,4,0,60.22261437806652,5.0041146167911776e-05,2.2474195953213537e-05,1.3264660000000004,72.77350897332849
2025-04-18 01:20:00,1.32679,1.32709,1.32674,1.32686,118,0,0,62.73048248353821,7.696658791811473e-05,3.337267434619377e-05,1.3265250000000002,77.2226372402874
2025-04-18 01:21:00,1.32686,1.32695,1.32672,1.32672,57,0,0,58.12610273822698,8.601681620756807e-05,4.390150271846863e-05,1.326559,74.74564729328907
2025-04-18 01:22:00,1.32672,1.32673,1.32669,1.32669,25,11,0,57.15794303907319,8.973403989642748e-05,5.30680101540604e-05,1.326578,73.79872469777811
2025-04-18 01:23:00,1.32669,1.32669,1.32613,1.32664,109,21,0,55.49876664452128,8.763518050858288e-05,5.99814442249649e-05,1.326601,64.01111744243453
2025-04-18 01:24:00,1.32661,1.32667,1.32646,1.32654,119,13,0,52.23306745034192,7.701487551226016e-05,6.338813048242395e-05,1.326586,66.9130838025092
2025-04-18 01:25:00,1.32654,1.32661,1.32652,1.32655,57,27,0,52.53385612622201,6.861418213333081e-05,6.443334081260532e-05,1.326591,66.98254370309952
2025-04-18 01:26:00,1.32654,1.3266,1.32642,1.32657,65,0,0,53.16901461082221,6.284595590044795e-05,6.411586383017385e-05,1.326622,60.31543876347668
2025-04-18 01:27:00,1.32656,1.3266,1.32646,1.32651,71,33,0,50.96567291348924,5.282417231744496e-05,6.185752552762808e-05,1.3266440000000002,58.077031579223956
2025-04-18 01:28:00,1.32651,1.32662,1.3265,1.3266,50,0,0,54.04218454336868,5.1549849882759347e-05,5.979599039865433e-05,1.326642,57.56637831730497
2025-04-18 01:29:00,1.32661,1.32678,1.32606,1.32624,91,0,0,42.54374860738931,2.1246037720246136e-05,5.208599986297269e-05,1.326592,53.595244691542355
2025-04-18 01:30:00,1.32624,1.32662,1.32612,1.3265,117,6,0,50.70189718537734,1.8002355396617986e-05,4.526927096970175e-05,1.3265559999999998,59.3260131093177
2025-04-18 01:31:00,1.3265,1.32658,1.32595,1.32626,225,6,0,44.430578538143855,-3.889445346016984e-06,3.5437527706558e-05,1.3265099999999999,51.548674735210184
2025-04-18 01:32:00,1.32625,1.32627,1.32581,1.32601,185,39,0,39.016807997861854,-4.09398368639291e-05,2.016205479246058e-05,1.326442,42.62524752534302
2025-04-18 01:33:00,1.32608,1.3263,1.326,1.32622,150,74,0,45.071343402592674,-5.274923378695284e-05,5.579797076577893e-06,1.3264,42.462951880767974
2025-04-18 01:34:00,1.32623,1.32632,1.32617,1.32627,47,82,0,46.43494535934763,-5.7411875435509074e-05,-7.018537425839501e-06,1.3263729999999998,39.474587946375586
2025-04-18 01:35:00,1.32624,1.32633,1.32594,1.32624,148,70,0,45.701853518375806,-6.280383826062774e-05,-1.8175597592797148e-05,1.326342,37.01352050558946
